"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "JSON", "Prisma", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/routes/roomType.route.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 10
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/services/nodemailer-email.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/services/nodemailer-email.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 66
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/services/resend-email.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/services/resend-email.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 14
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/utils/createAuthToken.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/utils/createAuthToken.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 14
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/utils/hashPassword.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/utils/hashPassword.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/utils/verifyAuthToken.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
"/Users/qaaf/Projects/final project purwadhika/backend/dist/src/utils/verifyAuthToken.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 19
"/Users/qaaf/Projects/final project purwadhika/backend/package-lock.json", "JSON", 0, 0, 0, 4422, 0, 0, 0, 0, 0, 0, 0, 1, 4423
"/Users/qaaf/Projects/final project purwadhika/backend/package.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"/Users/qaaf/Projects/final project purwadhika/backend/prisma.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 16
"/Users/qaaf/Projects/final project purwadhika/backend/prisma/migrations/20251208082505_init/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 4, 20
"/Users/qaaf/Projects/final project purwadhika/backend/prisma/migrations/20251208090020_change_password_name_email_to_required/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 9, 1, 14
"/Users/qaaf/Projects/final project purwadhika/backend/prisma/migrations/20251208142100_adding_model_property_dan_anak_anaknya/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 11, 16, 86
"/Users/qaaf/Projects/final project purwadhika/backend/prisma/migrations/20251211164105_adding_model_room_and_changing_previous_model_room_into_room_type/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 24, 13, 74
"/Users/qaaf/Projects/final project purwadhika/backend/prisma/migrations/20260107055733_changing_peakseasonrate_model/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 12, 4, 22
"/Users/qaaf/Projects/final project purwadhika/backend/prisma/migrations/20260107064641_kembaliin_peakseasonrate/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 8, 2, 12
"/Users/qaaf/Projects/final project purwadhika/backend/prisma/migrations/20260109140720_adding_social_login/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 2, 7
"/Users/qaaf/Projects/final project purwadhika/backend/prisma/migrations/20260111042129_add_reason_roomavailibility/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"/Users/qaaf/Projects/final project purwadhika/backend/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 14, 29, 143
"/Users/qaaf/Projects/final project purwadhika/backend/src/configs/cloudinary.config.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/qaaf/Projects/final project purwadhika/backend/src/controllers/auth.controllers.ts", "TypeScript", 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53, 362
"/Users/qaaf/Projects/final project purwadhika/backend/src/controllers/dashboard.controllers.ts", "TypeScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 153
"/Users/qaaf/Projects/final project purwadhika/backend/src/controllers/peak-season-rate.controller.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 53
"/Users/qaaf/Projects/final project purwadhika/backend/src/controllers/property.controllers.ts", "TypeScript", 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 250
"/Users/qaaf/Projects/final project purwadhika/backend/src/controllers/room-availability.controllers.ts", "TypeScript", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 218
"/Users/qaaf/Projects/final project purwadhika/backend/src/controllers/room.controllers.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 88
"/Users/qaaf/Projects/final project purwadhika/backend/src/controllers/roomType.controllers.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 75
"/Users/qaaf/Projects/final project purwadhika/backend/src/index.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 42
"/Users/qaaf/Projects/final project purwadhika/backend/src/lib/jwt.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 39
"/Users/qaaf/Projects/final project purwadhika/backend/src/lib/prisma.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/qaaf/Projects/final project purwadhika/backend/src/middlewares/file-upload.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 32
"/Users/qaaf/Projects/final project purwadhika/backend/src/nothing/nodemailer-test.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/qaaf/Projects/final project purwadhika/backend/src/nothing/random-id.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/qaaf/Projects/final project purwadhika/backend/src/nothing/resend-test.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/qaaf/Projects/final project purwadhika/backend/src/routes/auth.routes.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"/Users/qaaf/Projects/final project purwadhika/backend/src/routes/dashboard.route.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/qaaf/Projects/final project purwadhika/backend/src/routes/peak-season-rate.route.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"/Users/qaaf/Projects/final project purwadhika/backend/src/routes/property.route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"/Users/qaaf/Projects/final project purwadhika/backend/src/routes/room-availability.route.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/qaaf/Projects/final project purwadhika/backend/src/routes/room.route.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/qaaf/Projects/final project purwadhika/backend/src/routes/roomType.route.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"/Users/qaaf/Projects/final project purwadhika/backend/src/services/nodemailer-email.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 71
"/Users/qaaf/Projects/final project purwadhika/backend/src/services/resend-email.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"/Users/qaaf/Projects/final project purwadhika/backend/src/utils/createAuthToken.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/qaaf/Projects/final project purwadhika/backend/src/utils/hashPassword.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/qaaf/Projects/final project purwadhika/backend/src/utils/verifyAuthToken.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 22
"/Users/qaaf/Projects/final project purwadhika/backend/tsconfig.json", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 16, 7, 45
"/Users/qaaf/Projects/final project purwadhika/frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"/Users/qaaf/Projects/final project purwadhika/frontend/components.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
